speaker,gender
David B. Haight,male
N. Eldon Tanner,male
Henry D. Taylor,male
Boyd K. Packer,male
Bernard P. Brockbank,male
Spencer W. Kimball,male
Joseph Anderson,male
James A. Cullimore,male
Eldred G. Smith,male
By Bishop John H. Vandenberg,male
Joseph Fielding Smith,male
Marvin J. Ashton,male
Loren C. Dunn,male
S. Dilworth Young,male
By Bishop Victor L. Brown,male
Ezra Taft Benson,male
Thomas S. Monson,male
William H. Bennett,male
Gordon B. Hinckley,male
Bruce R. McConkie,male
Franklin D. Richards,male
Marion D. Hanks,male
Paul H. Dunn,male
Alvin R. Dyer,male
Milton R. Hunter,male
By Wendell J. Ashton,male
Marion G. Romney,male
Harold B. Lee,male
Delbert L. Stapley,male
A. Theodore Tuttle,male
LeGrand Richards,male
Howard W. Hunter,male
Richard L. Evans,male
Theodore M. Burton,male
Mark E. Petersen,male
ElRay L. Christiansen,male
"Hartman Rector, Jr.",male
Sterling W. Sill,male
By Dallin H. Oaks,male
By Bishop Robert L. Simpson,male
Hugh B. Brown,male
By James O. Mason,male
J. Thomas Fyans,male
Robert L. Simpson,male
By Bishop Vaughn J. Featherstone,male
John H. Vandenberg,male
By Bishop H. Burke Peterson,male
Rex D. Pinegar,male
L. Tom Perry,male
O. Leslie Stone,male
James E. Faust,male
By Robert L. Backman,male
Neal A. Maxwell,male
Adney Y. Komatsu,male
Joseph B. Wirthlin,male
William Grant Bangerter,male
Robert D. Hales,male
William R. Bradford,male
Gene R. Cook,male
Charles A. Didier,male
George P. Lee,male
By Barbara B. Smith,female
W. Grant Bangerter,male
"M. Russell Ballard, Jr.",male
John H. Groberg,male
Carlos E. Asay,male
Jacob de Jager,male
Robert E. Wells,male
Vaughn J. Featherstone,male
By Bishop J. Richard Clarke,male
Dean L. Larsen,male
G. Homer Durham,male
Royden G. Derrick,male
Richard G. Scott,male
"By Arch Monson, Jr.",male
James M. Paramore,male
F. Enzio Busche,male
Yoshihiko Kikuchi,male
Hugh W. Pinnock,male
Rex C. Reeve,male
Derek A. Cuthbert,male
Robert L. Backman,male
Ronald E. Poelman,male
Teddy E. Brewerton,male
"Jack H Goaslind, Jr.",male
F. Burton Howard,male
M. Russell Ballard,male
By Elaine Cannon,female
By Ruth H. Funk,female
By Naomi M. Shumway,female
By Elaine A. Cannon,female
By Harold G. Hillam,male
By Shirley W. Thomas,female
By Douglas W. DeHaan,male
By Marian R. Boyer,male
By Mary F. Foulger,female
By Addie Fuhriman,female
"Rex C. Reeve, Sr.",male
Angel Abrea,male
By Nyle Randall,female
Charles Didier,male
By JoAnn Randall,female
By Dwan J. Young,female
By C. Frederick Pingel,male
By Michael Nicholas,male
By Dean Jarman,male
By Matthew S. Holland,male
Ted E. Brewerton,male
By Jeffrey R. Holland,male
By James M. Dunn,male
By Devin G. Durrant,male
By Ardeth Greene Kapp,female
Russell M. Nelson,male
By Barbara W. Winder,female
John K. Carmack,male
By Ardeth G. Kapp,female
By R. LaVell Edwards,male
Spencer H. Osborn,male
Russell C. Taylor,male
Philip T. Sonntag,male
Dallin H. Oaks,male
Robert B. Harbertson,male
Devere Harris,male
J. Richard Clarke,male
By Bishop Robert D. Hales,male
Keith W. Wilcox,male
F. Arthur Kay,male
Helio da Rocha Camargo,male
Hans B. Ringger,male
John Sonnenberg,male
Victor L. Brown,male
By Bishop Henry B. Eyring,male
Waldo P. Call,male
By Peter Vidmar,male
H. Burke Peterson,male
By Bishop Glenn L. Pace,male
By Don Lind,male
Francis M. Gibbons,male
Jack H. Goaslind,male
George I. Cannon,male
H. Verlan Andersen,male
Gardner H. Russell,male
Douglas J. Martin,male
Alexander B. Morrison,male
By Joanne B. Doxey,female
L. Aldin Porter,male
Lynn A. Sorensen,male
By Joy F. Evans,female
Douglas H. Smith,male
Glen L. Rudd,male
John R. Lasater,male
George R. Hill III,male
Lloyd P. George,male
Monte J. Brough,male
By Michaelene P. Grassli,female
L. Lionel Kendrick,male
"Albert Choules, Jr.",male
Wm. Grant Bangerter,male
Robert E. Sackley,male
